taxon_name	ref_id	sh_id	rep	taxonomy	taxon_name_sh
1	Spizellomycetales_sp	UDB07389087	SH1187559.09FU	reps	k__Fungi;p__Chytridiomycota;c__Spizellomycetes;o__Spizellomycetales;f__Spizellomycetales_fam_Incertae_sedis;g__Spizellomycetales_gen_Incertae_sedis;s__Spizellomycetales_sp	Spizellomycetales_sp_SH1187559.09FU
2	Sordariales_sp	UDB0607622	SH0995733.09FU	reps	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Sordariales_fam_Incertae_sedis;g__Sordariales_gen_Incertae_sedis;s__Sordariales_sp	Sordariales_sp_SH0995733.09FU
3	Paraglomerales_sp	KY242683	SH0899019.09FU	reps	k__Fungi;p__Glomeromycota;c__Paraglomeromycetes;o__Paraglomerales;f__Paraglomerales_fam_Incertae_sedis;g__Paraglomerales_gen_Incertae_sedis;s__Paraglomerales_sp	Paraglomerales_sp_SH0899019.09FU
4	Oomycetes_sp	UDB05870648	SH1013002.09FU	reps	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Oomycetes_ord_Incertae_sedis;f__Oomycetes_fam_Incertae_sedis;g__Oomycetes_gen_Incertae_sedis;s__Oomycetes_sp	Oomycetes_sp_SH1013002.09FU
5	Mortierella_sp	UDB04883449	SH1039268.09FU	reps	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_sp	Mortierella_sp_SH1039268.09FU
6	Actinomucor_elegans	JN205828	SH1002491.09FU	refs	k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Mucoraceae;g__Actinomucor;s__Actinomucor_elegans	Actinomucor_elegans_SH1002491.09FU
7	Chlorophyta_sp	MF692949	SH0921600.09FU	reps	k__Viridiplantae;p__Chlorophyta;c__Chlorophyta_cls_Incertae_sedis;o__Chlorophyta_ord_Incertae_sedis;f__Chlorophyta_fam_Incertae_sedis;g__Chlorophyta_gen_Incertae_sedis;s__Chlorophyta_sp	Chlorophyta_sp_SH0921600.09FU
8	Eukaryota_sp	UDB0257922	SH1094185.09FU	reps	k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis;c__Eukaryota_cls_Incertae_sedis;o__Eukaryota_ord_Incertae_sedis;f__Eukaryota_fam_Incertae_sedis;g__Eukaryota_gen_Incertae_sedis;s__Eukaryota_sp	Eukaryota_sp_SH1094185.09FU
9	Podila_minutissima	HQ630323	SH0888026.09FU	refs	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Podila;s__Podila_minutissima	Podila_minutissima_SH0888026.09FU
10	Clonostachys_rosea	AF358233	SH1077172.09FU	refs	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Clonostachys;s__Clonostachys_rosea	Clonostachys_rosea_SH1077172.09FU
11	Ascomycota_sp	UDB03395738	SH0919378.09FU	reps	k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp	Ascomycota_sp_SH0919378.09FU
12	Pleosporales_sp	HE820879	SH1205335.09FU	reps	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Pleosporales_gen_Incertae_sedis;s__Pleosporales_sp	Pleosporales_sp_SH1205335.09FU
13	Humicola_nigrescens	AB625592	SH1240686.09FU	refs	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Humicola;s__Humicola_nigrescens	Humicola_nigrescens_SH1240686.09FU
14	Pseudocoleophoma_calamagrostidis	LC014592	SH1514470.09FU	refs_singleton	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Dictyosporiaceae;g__Pseudocoleophoma;s__Pseudocoleophoma_calamagrostidis	Pseudocoleophoma_calamagrostidis_SH1514470.09FU
15	Eukaryota_sp	UDB0588686	SH1197856.09FU	reps	k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis;c__Eukaryota_cls_Incertae_sedis;o__Eukaryota_ord_Incertae_sedis;f__Eukaryota_fam_Incertae_sedis;g__Eukaryota_gen_Incertae_sedis;s__Eukaryota_sp	Eukaryota_sp_SH1197856.09FU
16	Acremonium_sp	UDB0836952	SH0885423.09FU	reps	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;s__Acremonium_sp	Acremonium_sp_SH0885423.09FU
17	Metazoa_sp	UDB04062131	SH1016501.09FU	reps	k__Metazoa;p__Metazoa_phy_Incertae_sedis;c__Metazoa_cls_Incertae_sedis;o__Metazoa_ord_Incertae_sedis;f__Metazoa_fam_Incertae_sedis;g__Metazoa_gen_Incertae_sedis;s__Metazoa_sp	Metazoa_sp_SH1016501.09FU
18	Ustilago_maydis	UDB016255	SH1058415.09FU	refs	k__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Ustilaginales;f__Ustilaginaceae;g__Ustilago;s__Ustilago_maydis	Ustilago_maydis_SH1058415.09FU
19	Cadophora_gregata	MH856781	SH3123052.09FU	refs	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Ploettnerulaceae;g__Cadophora;s__Cadophora_gregata	Cadophora_gregata_SH3123052.09FU
20	Pseudogymnoascus_roseus	DQ117451	SH1477560.09FU	refs	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Thelebolales;f__Pseudeurotiaceae;g__Pseudogymnoascus;s__Pseudogymnoascus_roseus	Pseudogymnoascus_roseus_SH1477560.09FU
21	Fusicolla_aquaeductuum	KM231823	SH1239877.09FU	refs	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusicolla;s__Fusicolla_aquaeductuum	Fusicolla_aquaeductuum_SH1239877.09FU
22	Eukaryota_sp	UDB044902	SH1137249.09FU	reps	k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis;c__Eukaryota_cls_Incertae_sedis;o__Eukaryota_ord_Incertae_sedis;f__Eukaryota_fam_Incertae_sedis;g__Eukaryota_gen_Incertae_sedis;s__Eukaryota_sp	Eukaryota_sp_SH1137249.09FU
23	Stropharia_melanosperma	FJ810140	SH1200750.09FU	reps	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Strophariaceae;g__Stropharia;s__Stropharia_melanosperma	Stropharia_melanosperma_SH1200750.09FU
24	Fusarium_equiseti	GQ505688	SH3082323.09FU	refs	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_equiseti	Fusarium_equiseti_SH3082323.09FU
25	Helicotylenchus_sp	KM506862	SH1006395.09FU	reps	k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Hoplolaimidae;g__Helicotylenchus;s__Helicotylenchus_sp	Helicotylenchus_sp_SH1006395.09FU
26	Exophiala_sp	MF588877	SH1072520.09FU	reps	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala;s__Exophiala_sp	Exophiala_sp_SH1072520.09FU
27	Pleotrichocladium_opacum	JN995638	SH0985614.09FU	refs	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Melanommataceae;g__Pleotrichocladium;s__Pleotrichocladium_opacum	Pleotrichocladium_opacum_SH0985614.09FU
28	Operculomyces_sp	UDB02585769	SH1166120.09FU	reps	k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes;o__Rhizophydiales;f__Rhizophydiales_fam_Incertae_sedis;g__Operculomyces;s__Operculomyces_sp	Operculomyces_sp_SH1166120.09FU
29	Penicillium_sp	UDB0162238	SH1056194.09FU	reps	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_sp	Penicillium_sp_SH1056194.09FU
30	Mortierella_sp	UDB04628487	SH1204958.09FU	reps	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_sp	Mortierella_sp_SH1204958.09FU
31	Didymosphaeriaceae_sp	UDB05199723	SH0976572.09FU	reps	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae;g__Didymosphaeriaceae_gen_Incertae_sedis;s__Didymosphaeriaceae_sp	Didymosphaeriaceae_sp_SH0976572.09FU
